shape_id,shape_pt_sequence,shape_dist_traveled,shape_pt_lat,shape_pt_lon
880814,0,,14.603510000000002,120.98343000000001
880814,1,,14.603340000000001,120.98459000000001
880814,2,,14.60058,120.99053
880814,3,,14.600480000000001,120.99089000000001
880814,4,,14.6005,120.99138
880814,5,,14.6008,120.99246000000001
880814,6,,14.60113,120.99353
880814,7,,14.60116,120.99404000000001
880814,8,,14.6006,120.99593000000002
880814,9,,14.6006,120.99637000000001
880814,10,,14.60084,120.99722000000001
880814,11,,14.60085,120.99780000000001
880814,12,,14.600629999999999,120.99869000000001
880814,13,,14.600629999999999,120.99901000000001
880814,14,,14.600779999999999,120.99960000000002
880814,15,,14.601049999999999,121.00008000000001
880814,16,,14.601209999999998,121.00106000000001
880814,17,,14.601299999999998,121.00172
880814,18,,14.60156,121.00333
880814,19,,14.60173,121.00504000000001
880814,20,,14.60261,121.01490000000001
880814,21,,14.6028,121.01558000000001
880814,22,,14.603110000000001,121.01604000000002
880814,23,,14.60411,121.01709000000002
880814,24,,14.60923,121.02235000000003
880814,25,,14.60944,121.02274000000003
880814,26,,14.6105,121.02600000000002
880814,27,,14.61265,121.03249000000002
880814,28,,14.61356,121.03421000000003
880814,29,,14.618459999999999,121.04264000000003
880814,30,,14.618809999999998,121.04320000000003
880814,31,,14.619299999999997,121.04410000000003
880814,32,,14.620949999999997,121.04889000000003
880814,33,,14.621859999999996,121.05082000000003
880814,34,,14.622619999999996,121.05250000000002
880814,35,,14.625929999999997,121.05929000000002
880814,36,,14.627399999999996,121.06214000000001
880814,37,,14.627679999999996,121.06287000000002
880814,38,,14.627859999999997,121.06380000000001
880814,39,,14.628039999999997,121.06478000000001
880814,40,,14.628379999999996,121.06699000000002
880814,41,,14.628749999999997,121.06794000000002
880814,42,,14.631009999999996,121.07281000000002
880814,43,,14.632379999999996,121.07572000000002
880814,44,,14.632459999999996,121.07619000000003
880814,45,,14.632429999999996,121.07669000000003
880814,46,,14.632169999999995,121.07726000000002
880814,47,,14.631329999999995,121.07820000000002
880814,48,,14.627439999999995,121.08096000000002
880814,49,,14.625489999999994,121.08252000000002
880814,50,,14.624049999999993,121.08387000000002
880814,51,,14.622179999999993,121.08591000000001
880814,52,,14.622179999999993,121.08591000000001
880814,53,,14.622179999999993,121.08591000000001
882188,0,,14.657540000000001,121.02124
882188,1,,14.65761,121.02091
882188,2,,14.65765,121.02044
882188,3,,14.6577,121.01948999999999
882188,4,,14.65741,121.00376999999999
882188,5,,14.65728,120.99219999999998
882188,6,,14.65719,120.98790999999999
882188,7,,14.65716,120.98498999999998
882188,8,,14.6571,120.98480999999998
882188,9,,14.65704,120.98462999999998
882188,10,,14.65692,120.98434999999998
882188,11,,14.65669,120.98409999999998
882188,12,,14.65645,120.98399999999998
882188,13,,14.65603,120.98395999999998
882188,14,,14.644449999999999,120.98357999999998
882188,15,,14.63861,120.98336999999998
882188,16,,14.63813,120.98325999999997
882188,17,,14.636000000000001,120.98230999999997
882188,18,,14.634530000000002,120.98155999999997
882188,19,,14.632660000000001,120.98073999999997
882188,20,,14.632180000000002,120.98067999999996
882188,21,,14.631600000000002,120.98075999999996
882188,22,,14.631160000000003,120.98097999999996
882188,23,,14.630790000000003,120.98127999999996
882188,24,,14.629280000000003,120.98272999999996
882188,25,,14.628890000000004,120.98294999999996
882188,26,,14.628400000000005,120.98306999999996
882188,27,,14.622370000000004,120.98286999999995
882188,28,,14.616360000000004,120.98269999999995
882188,29,,14.613010000000004,120.98262999999996
882188,30,,14.610950000000004,120.98245999999996
882188,31,,14.605190000000004,120.98204999999996
882188,32,,14.602560000000004,120.98190999999996
882188,33,,14.600850000000005,120.98163999999996
882188,34,,14.599140000000006,120.98135999999995
882188,35,,14.598390000000006,120.98116999999995
882188,36,,14.597450000000006,120.98080999999995
882188,37,,14.595810000000006,120.98068999999995
882188,38,,14.592690000000006,120.98162999999995
882188,39,,14.591920000000007,120.98186999999996
882188,40,,14.590420000000007,120.98199999999996
882188,41,,14.589280000000008,120.98215999999995
882188,42,,14.588750000000008,120.98216999999995
882188,43,,14.587810000000008,120.98201999999995
882188,44,,14.587350000000008,120.98204999999994
882188,45,,14.587170000000008,120.98208999999994
882188,46,,14.582460000000008,120.98471999999994
882188,47,,14.576460000000008,120.98808999999994
882188,48,,14.570250000000009,120.99165999999994
882188,49,,14.56310000000001,120.99494999999995
882188,50,,14.562690000000009,120.99513999999995
882188,51,,14.55841000000001,120.99620999999995
882188,52,,14.554100000000009,120.99714999999995
882188,53,,14.548020000000008,120.99859999999995
882188,54,,14.543370000000008,120.99964999999996
882188,55,,14.540970000000009,121.00019999999996
882188,56,,14.53875000000001,121.00067999999996
882188,57,,14.538350000000008,121.00073999999996
882188,58,,14.53800000000001,121.00075999999997
882188,59,,14.53767000000001,121.00069999999997
882188,60,,14.537170000000009,121.00053999999997
882188,61,,14.534160000000009,120.99826999999998
882188,62,,14.534160000000009,120.99826999999998
882188,63,,14.534160000000009,120.99826999999998
882188,64,,14.534160000000009,120.99826999999998
881760,0,,14.65079,120.97259000000001
881760,1,,14.651060000000001,120.97361000000001
881760,2,,14.6514,120.97500000000001
881760,3,,14.65168,120.97593
881760,4,,14.65182,120.97656
881760,5,,14.651760000000001,120.97799
881760,6,,14.65173,120.97901
881760,7,,14.651660000000001,120.98098
881760,8,,14.651600000000002,120.982
881760,9,,14.651600000000002,120.983
881760,10,,14.651550000000002,120.98381
881760,11,,14.651440000000003,120.98604
881760,12,,14.651380000000003,120.98816000000001
881760,13,,14.651320000000004,120.99031000000001
881760,14,,14.651270000000004,120.99252000000001
881760,15,,14.651170000000004,120.99492000000001
881760,16,,14.652590000000004,120.99491
881760,17,,14.652590000000004,120.99491
881760,18,,14.652590000000004,120.99491
881761,0,,14.601300000000002,120.98
881761,1,,14.604400000000002,120.979
881761,2,,14.606000000000002,120.98
881761,3,,14.608000000000002,120.98
881761,4,,14.608900000000002,120.98100000000001
881761,5,,14.611000000000002,120.98100000000001
881761,6,,14.611800000000002,120.98
881761,7,,14.613200000000003,120.98
881761,8,,14.613300000000002,120.979
881761,9,,14.613900000000003,120.977
881761,10,,14.614700000000003,120.97500000000001
881761,11,,14.616100000000003,120.97600000000001
881761,12,,14.616100000000003,120.97600000000001
882266,0,,14.631900000000002,121.07400000000001
882266,1,,14.634100000000002,121.07400000000001
882266,2,,14.636800000000003,121.07500000000002
882266,3,,14.639200000000002,121.07500000000002
882266,4,,14.642100000000003,121.07500000000002
